test enviornment
linux3
CPU(S): 32
Thread(s) per core: 2
Model name: Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz


iteration 10, batch size 1000

threads real   user   sys     instructions
1       20.676 20.177 0.433   65555743614
10      4.004  18.034 0.786   66345248301
50      3.464  16.509 1.879   69858063573
100     4.707  17.368 4.106   74248633430
125     5.444  18.892 4.84    76443965738
200     8.107  21.743 7.777   83029993379
250     10.009 24.636 9.748   87421033760
500     18.689 29.916 19.104  109375779323
1000    35.482 39.889 36.646  153285749600

